age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,skill_moves
32,176,65,83,83,20000000,125000,3
32,174,71,83,83,19500000,55000,4
34,193,80,83,83,13500000,81000,2
33,180,75,83,83,15000000,125000,3
30,181,80,83,83,20500000,35000,3
32,183,76,83,83,17000000,39000,3
29,173,71,83,83,21500000,71000,3
29,180,80,83,83,25000000,160000,4
31,183,80,83,83,22000000,39000,4
28,179,66,83,83,26000000,25000,4
29,189,88,83,83,18500000,35000,1
28,172,68,83,83,26000000,190000,5
27,170,66,83,83,27000000,41000,4
30,192,82,83,83,17500000,63000,1
29,176,77,83,83,26000000,125000,4
29,182,78,83,83,18500000,31000,1
27,180,66,83,83,27000000,82000,5
31,171,70,83,83,19500000,78000,3
31,181,76,83,83,23500000,30000,4
28,178,68,83,83,22000000,175000,4
32,192,88,83,83,16500000,75000,3
29,175,74,83,83,25000000,115000,4
27,174,70,83,83,27000000,120000,4
27,175,71,83,83,27000000,78000,4
28,167,66,83,83,26000000,50000,3
28,180,68,83,83,25500000,125000,3
30,172,63,83,83,24500000,59000,4
28,180,77,83,83,27000000,56000,3
27,184,82,83,83,27000000,45000,3
29,189,88,83,83,26000000,87000,3
27,172,66,83,83,27000000,23000,4
31,190,80,83,83,16500000,47000,1
28,172,69,83,83,22000000,41000,4
28,177,75,83,83,26000000,49000,4
23,178,68,82,89,27500000,85000,3
24,189,70,82,88,30000000,70000,4
24,182,76,82,87,26500000,70000,2
23,180,80,82,87,29000000,89000,3
24,177,68,82,87,29000000,95000,4
27,195,94,82,86,20000000,93000,1
25,186,88,82,86,21000000,76000,1
24,191,91,82,86,21500000,31000,1
24,182,76,82,86,29000000,160000,4
23,180,72,82,86,26000000,53000,3
27,194,100,82,85,24000000,120000,2
26,190,80,82,85,27500000,36000,4
25,171,70,82,85,28000000,65000,4
28,189,84,82,85,20000000,35000,1
25,183,73,82,85,28000000,98000,4
25,184,74,82,85,27500000,65000,3
27,188,77,82,84,18500000,20000,1
26,186,86,82,84,26500000,72000,3
28,186,81,82,84,19500000,28000,1
27,192,85,82,84,18500000,30000,1
27,190,84,82,83,26000000,73000,3
29,185,72,82,83,21000000,46000,2
28,200,76,82,83,18500000,59000,1
25,188,84,82,83,26500000,40000,4
26,191,86,82,83,23000000,48000,2
28,178,72,82,83,21500000,39000,2
28,196,81,82,83,18500000,32000,1
42,192,92,82,82,2200000,41000,1
34,187,74,82,82,8000000,41000,2
32,184,78,82,82,17000000,39000,3
31,180,71,82,82,19500000,100000,4
33,175,77,82,82,13500000,59000,4
31,185,78,82,82,16000000,72000,2
31,189,87,82,82,14000000,34000,1
31,175,77,82,82,19500000,110000,4
31,186,80,82,82,19500000,115000,4
34,190,74,82,82,9500000,64000,1
31,192,90,82,82,16500000,82000,2
31,192,83,82,82,20000000,24000,4
34,187,81,82,82,8000000,105000,3
29,183,76,82,82,21500000,98000,3
29,176,65,82,82,21500000,36000,4
30,180,72,82,82,18000000,23000,3
29,187,80,82,82,18500000,500,3
30,187,82,82,82,15000000,37000,1
30,190,84,82,82,15000000,125000,1
29,182,77,82,82,22000000,140000,4
28,180,75,82,82,22500000,105000,4
28,188,83,82,82,20000000,20000,3
32,188,85,82,82,13500000,16000,1
30,184,81,82,82,21000000,78000,4
31,188,85,82,82,14000000,29000,1
27,179,70,82,82,23000000,59000,4
26,181,72,82,82,24000000,67000,4
28,174,72,82,82,22500000,26000,5
28,188,87,82,82,19000000,64000,3
29,177,73,82,82,22000000,56000,4
25,183,76,82,82,24000000,68000,3
32,190,85,82,82,13500000,32000,1
28,185,80,82,82,19500000,41000,2
20,181,70,81,93,32000000,51000,5
19,181,72,81,89,22500000,40000,4
22,175,70,81,89,26000000,65000,4
21,172,66,81,89,26500000,28000,3
20,184,77,81,89,26500000,97000,4
23,181,71,81,88,25500000,90000,4
20,170,67,81,88,25000000,54000,4
23,179,68,81,87,24500000,39000,4
21,177,69,81,87,24500000,83000,4
23,187,82,81,87,22000000,15000,2
22,173,68,81,87,21500000,49000,4
26,188,77,81,86,17500000,14000,1
24,174,72,81,86,24000000,17000,4
25,192,86,81,86,21500000,46000,3
26,184,78,81,85,16500000,32000,1
23,183,74,81,85,23500000,71000,3
24,171,62,81,85,23000000,54000,4
23,176,72,81,85,23000000,82000,4
23,175,73,81,85,23000000,82000,4
25,172,64,81,85,22500000,96000,4
24,168,65,81,85,21000000,74000,3
24,189,80,81,85,21000000,69000,2
24,186,76,81,85,20500000,65000,3
23,178,77,81,85,20500000,79000,3
23,176,68,81,85,23000000,50000,4
25,185,85,81,84,19500000,115000,3
26,185,77,81,84,16000000,70000,1
26,186,78,81,84,22500000,80000,4
26,170,70,81,84,19500000,86000,3
27,191,93,81,84,15500000,35000,1
25,188,77,81,84,22500000,73000,4
26,186,79,81,84,22500000,35000,4
24,187,79,81,84,20000000,79000,2
27,190,85,81,83,18500000,92000,2
26,190,82,81,83,22000000,58000,3
24,181,75,81,83,19000000,97000,3
27,169,62,81,83,19000000,115000,4
26,175,72,81,82,21000000,45000,3
29,187,81,81,82,17000000,60000,2
29,193,83,81,82,14500000,19000,1
27,170,69,81,82,21000000,14000,3
25,192,80,81,82,21000000,83000,3
28,194,94,81,82,15000000,30000,1
26,174,67,81,82,21000000,70000,3
36,171,68,81,81,5500000,12000,4
37,188,81,81,81,3600000,13000,2
34,188,89,81,81,9500000,66000,3
30,185,80,81,81,16500000,62000,3
37,170,72,81,81,6500000,54000,5
33,189,82,81,81,9500000,32000,1
35,190,83,81,81,4800000,26000,1
33,188,93,81,81,9500000,32000,1
32,183,73,81,81,13500000,25000,4
32,193,87,81,81,11000000,26000,1
33,189,77,81,81,8500000,18000,2
31,186,81,81,81,13000000,66000,2
31,192,86,81,81,13500000,76000,2
33,189,90,81,81,10500000,87000,2
32,180,76,81,81,14000000,42000,4
32,174,76,81,81,14000000,500,5
32,172,75,81,81,14000000,500,4
29,172,68,81,81,17500000,26000,5
29,188,85,81,81,14500000,96000,3
32,179,72,81,81,11000000,79000,5
28,182,79,81,81,16000000,63000,3
28,169,72,81,81,18000000,105000,5
29,178,66,81,81,17000000,65000,3
29,196,92,81,81,15000000,19000,2
30,171,67,81,81,17000000,28000,4
28,174,70,81,81,18000000,100000,4
31,180,76,81,81,11500000,21000,1
31,185,83,81,81,11500000,33000,1
28,182,75,81,81,18000000,23000,4
27,179,85,81,81,19000000,68000,3
30,177,86,81,81,14000000,500,4
28,182,87,81,81,15000000,96000,3
27,175,70,81,81,18500000,53000,4
28,190,82,81,81,15000000,63000,3
26,176,70,81,81,19000000,39000,4
29,173,67,81,81,14500000,84000,4
28,178,72,81,81,15000000,60000,3
32,182,71,81,81,14000000,27000,4
29,185,76,81,81,15000000,62000,3
30,182,70,81,81,16500000,24000,4
28,175,75,81,81,15000000,31000,3
26,171,67,81,81,19000000,74000,4
27,197,84,81,81,19000000,62000,3
24,181,82,81,81,0,0,2
28,172,68,81,81,15000000,500,2
20,175,70,81,81,17500000,31000,2
28,188,83,81,81,18500000,53000,4
20,178,69,81,81,0,0,4
24,180,75,81,81,19500000,500,2
28,184,79,81,81,18500000,500,2
19,176,73,80,93,27500000,95000,5
23,175,68,80,87,20500000,86000,3
22,187,84,80,87,18500000,46000,3
21,178,70,80,87,21000000,69000,3
23,190,85,80,87,16000000,70000,1
23,181,76,80,87,20500000,82000,4
22,186,78,80,87,19000000,115000,2
23,173,67,80,86,20500000,43000,5
23,178,73,80,86,20500000,90000,4
24,189,83,80,86,20000000,31000,3
22,192,87,80,86,20500000,43000,3
23,190,89,80,86,15500000,18000,1
22,179,72,80,86,20500000,50000,4
22,178,79,80,86,20500000,500,3
25,187,79,80,86,15000000,500,1
22,175,71,80,86,20500000,500,4
25,178,74,80,85,17500000,76000,3
23,175,69,80,85,17500000,46000,4
24,187,88,80,85,18000000,46000,2
23,179,68,80,85,19500000,76000,4
23,175,64,80,85,17500000,96000,3
22,178,79,80,85,20000000,59000,4
24,185,82,80,85,18000000,69000,2
22,182,85,80,85,20000000,140000,3
22,184,82,80,85,17500000,37000,3
24,175,74,80,85,18000000,28000,3
23,176,66,80,85,20000000,21000,5
23,186,84,80,85,20000000,40000,3
24,185,84,80,84,17500000,73000,3
25,187,80,80,84,17000000,100000,3
25,191,83,80,84,14000000,25000,1
26,188,70,80,83,16500000,110000,3
25,190,95,80,83,16500000,82000,2
24,180,68,80,83,19000000,65000,4
25,186,76,80,83,18500000,37000,4
26,181,72,80,83,18500000,57000,3
26,180,75,80,83,18000000,69000,4
25,172,71,80,83,18500000,17000,4
25,190,84,80,83,16500000,71000,2
26,191,93,80,83,13500000,17000,1
25,181,81,80,83,18500000,74000,3
24,175,70,80,83,19000000,66000,4
25,172,70,80,83,18500000,45000,3
25,173,74,80,83,18500000,55000,5
25,183,78,80,83,16500000,26000,2
25,184,75,80,83,16500000,51000,2
28,184,82,80,82,13000000,53000,1
27,186,82,80,82,15500000,33000,2
26,185,77,80,82,18000000,81000,5
27,185,80,80,81,15000000,80000,3
27,179,70,80,81,16500000,31000,4
27,181,83,80,81,14500000,56000,3
29,187,78,80,81,12000000,46000,1
26,187,77,80,81,17500000,82000,4
26,177,73,80,81,17500000,25000,4
27,175,80,80,81,14500000,49000,3
27,185,81,80,81,15000000,59000,2
29,182,77,80,81,14000000,29000,2
27,182,76,80,81,14500000,86000,3
27,181,79,80,81,17500000,49000,4
25,183,72,80,81,17500000,39000,4
26,183,74,80,81,17000000,68000,4
27,179,73,80,81,16500000,99000,4
36,180,80,80,80,5000000,12000,4
38,179,75,80,80,5000000,22000,4
34,175,70,80,80,7000000,94000,3
33,177,70,80,80,9000000,13000,5
34,186,78,80,80,6500000,500,1
34,184,77,80,80,8000000,53000,3
37,180,79,80,80,5500000,22000,4
32,185,85,80,80,11000000,22000,4
34,177,72,80,80,8000000,81000,3
35,186,80,80,80,4500000,18000,3
32,188,77,80,80,9500000,80000,2
28,184,80,80,80,15000000,98000,4
33,184,83,80,80,9500000,33000,3
31,181,74,80,80,10500000,38000,3
33,192,86,80,80,8000000,85000,1
35,184,79,80,80,4500000,41000,2
34,180,77,80,80,5000000,32000,3
33,190,92,80,80,8000000,13000,1
36,185,91,80,80,3000000,61000,2
31,191,82,80,80,11000000,43000,2
31,188,83,80,80,13500000,63000,2
33,189,86,80,80,7000000,80000,3
33,163,61,80,80,9000000,49000,4
31,168,62,80,80,13000000,105000,4
30,172,68,80,80,14000000,49000,4
32,187,78,80,80,9500000,68000,3
31,181,80,80,80,13000000,45000,4
30,184,77,80,80,12000000,48000,2
30,181,75,80,80,13500000,61000,4
29,176,74,80,80,14000000,41000,3
33,180,85,80,80,9000000,20000,4
32,169,67,80,80,11500000,64000,4
33,190,80,80,80,8000000,48000,1
29,188,86,80,80,15000000,38000,2
28,182,74,80,80,15000000,77000,4
30,179,74,80,80,12000000,32000,3
29,180,74,80,80,12500000,42000,3
31,194,83,80,80,11000000,105000,3
29,181,80,80,80,15000000,23000,4
30,176,72,80,80,11500000,31000,3
29,182,74,80,80,12000000,37000,3
31,177,75,80,80,13000000,59000,4
29,185,80,80,80,12000000,17000,3
28,189,91,80,80,15500000,40000,4
27,178,73,80,80,16000000,70000,3
34,178,77,80,80,5500000,21000,3
30,187,84,80,80,12000000,500,3
27,174,74,80,80,13000000,86000,3
29,184,73,80,80,12500000,29000,3
29,182,74,80,80,15000000,30000,4
30,180,76,80,80,12000000,135000,2
29,195,97,80,80,12500000,84000,2
28,182,81,80,80,12500000,41000,3
32,173,68,80,80,9000000,32000,3
28,181,76,80,80,12500000,56000,3
28,187,79,80,80,13000000,29000,3
29,173,70,80,80,14500000,165000,4
28,170,65,80,80,12500000,37000,4
33,189,88,80,80,8000000,17000,1
28,187,81,80,80,13000000,94000,4
27,175,70,80,80,13000000,41000,3
24,177,75,80,80,14000000,34000,3
24,182,74,80,80,11500000,500,1
20,171,63,80,80,16500000,23000,4
32,179,80,80,80,9500000,500,2
32,190,85,80,80,0,0,1
36,181,82,80,80,0,0,2
36,177,75,80,80,0,0,3
32,171,63,80,80,0,0,4
28,188,83,80,80,0,0,3
32,178,69,80,80,0,0,4
28,185,80,80,80,0,0,2
28,177,75,80,80,0,0,4
31,188,84,80,80,0,0,4
21,186,90,79,90,20000000,36000,2
19,174,64,79,90,21000000,90000,4
20,171,69,79,88,19500000,86000,4
22,180,73,79,88,19000000,15000,3
21,185,78,79,87,19000000,54000,3
20,184,68,79,87,17000000,29000,3
22,179,72,79,87,18500000,48000,4
22,195,96,79,86,16000000,34000,3
20,192,77,79,86,18000000,28000,4
21,185,80,79,86,16500000,31000,2
22,175,73,79,86,17500000,36000,4
23,183,74,79,86,17500000,37000,3
22,175,73,79,86,15500000,29000,2
21,196,90,79,86,16000000,38000,2
21,178,75,79,86,16000000,21000,2
24,178,72,79,85,17500000,80000,4
24,174,78,79,85,17500000,11000,4
23,187,78,79,85,17000000,67000,4
24,177,73,79,85,17500000,32000,4
22,180,66,79,85,17500000,80000,3
24,175,66,79,85,15500000,32000,4
23,184,78,79,85,15500000,110000,3
24,195,97,79,84,15000000,50000,2
24,187,82,79,84,15000000,69000,2
24,182,74,79,84,17000000,50000,3
26,178,74,79,84,0,0,3
24,175,69,79,84,17000000,30000,4
23,187,71,79,84,17000000,80000,3
24,176,74,79,84,15500000,69000,3
24,186,77,79,84,17000000,49000,3
24,184,78,79,84,17000000,32000,4
23,181,73,79,84,15500000,26000,3
23,180,76,79,84,17000000,34000,3
23,193,88,79,84,15500000,85000,3
25,189,78,79,84,15000000,29000,3
24,191,85,79,84,12500000,20000,1
25,190,83,79,84,17000000,18000,3
25,173,66,79,83,16000000,58000,3
25,180,75,79,83,14500000,100000,2
26,191,91,79,83,12000000,23000,1
25,184,83,79,83,14500000,44000,3
24,180,76,79,83,16500000,37000,4
25,194,94,79,83,12000000,40000,1
25,184,80,79,83,14500000,57000,2
24,180,69,79,83,16000000,48000,4
24,178,67,79,83,16500000,41000,4
22,187,84,79,83,16500000,39000,3
24,188,80,79,83,14500000,18000,2
26,180,75,79,82,15500000,78000,4
27,190,84,79,82,11000000,14000,1
25,176,79,79,82,14000000,77000,3
25,180,73,79,82,15500000,42000,4
25,178,73,79,82,14000000,57000,3
25,183,73,79,82,14500000,27000,3
24,186,72,79,82,14500000,13000,3
25,186,82,79,82,14000000,37000,3
25,183,74,79,82,15500000,30000,4
26,186,77,79,82,14000000,100000,3
26,172,81,79,82,16000000,40000,3
24,176,66,79,82,14000000,110000,3
24,172,64,79,82,16000000,26000,4
28,190,88,79,81,11000000,28000,1
27,177,67,79,81,13500000,51000,3
27,186,80,79,81,13000000,76000,2
27,186,87,79,81,13000000,50000,2
28,183,78,79,81,12500000,47000,2
25,189,85,79,81,14000000,77000,3
28,197,86,79,81,11000000,40000,1
28,187,73,79,80,12500000,30000,3
26,175,70,79,80,14500000,89000,4
29,193,85,79,80,10000000,12000,1
28,184,78,79,80,12500000,27000,2
27,174,71,79,80,14000000,140000,4
27,188,80,79,80,14000000,40000,4
28,173,66,79,80,12500000,24000,4
28,190,84,79,80,10500000,40000,1
26,184,74,79,80,13500000,46000,3
26,163,70,79,80,15000000,47000,3
26,187,82,79,80,14500000,17000,3
27,181,76,79,80,13000000,31000,3
27,168,67,79,80,0,0,4
25,182,67,79,80,15000000,42000,4
26,188,84,79,80,14500000,83000,4
26,177,77,79,80,13000000,20000,3
25,173,63,79,80,15000000,20000,3
27,187,82,79,80,14500000,20000,3
26,185,78,79,80,15000000,48000,4
27,187,86,79,80,14500000,31000,3
27,181,79,79,80,14000000,58000,4
36,175,67,79,79,4200000,11000,5
37,188,92,79,79,1300000,30000,1
34,185,78,79,79,5500000,34000,1
36,174,73,79,79,2700000,15000,2
32,187,88,79,79,7500000,28000,1
37,193,90,79,79,1300000,12000,1
34,186,75,79,79,4700000,35000,2
34,172,67,79,79,4400000,500,3
29,174,76,79,79,10500000,85000,3
34,178,73,79,79,6500000,12000,3
32,186,84,79,79,8000000,76000,2
33,183,73,79,79,7500000,33000,4
31,183,80,79,79,8000000,48000,1
33,172,70,79,79,8000000,43000,3
34,193,94,79,79,5500000,40000,1
33,167,68,79,79,6000000,22000,3
35,167,58,79,79,5500000,500,3
33,172,68,79,79,8000000,36000,3
32,170,63,79,79,10000000,110000,4
33,179,72,79,79,8000000,29000,4
33,176,70,79,79,5500000,16000,4
33,193,91,79,79,8000000,96000,3
31,177,77,79,79,9000000,76000,3
34,192,84,79,79,4700000,500,3
30,185,80,79,79,10000000,26000,2
33,180,85,79,79,7500000,46000,4
30,187,91,79,79,11500000,89000,3
35,184,75,79,79,4000000,40000,3
31,179,70,79,79,11000000,56000,4
30,186,77,79,79,12000000,83000,3
30,176,75,79,79,12000000,70000,4
33,186,76,79,79,8000000,16000,4
31,192,87,79,79,8000000,54000,1
30,182,80,79,79,10500000,500,3
31,196,91,79,79,0,0,3
31,196,89,79,79,9500000,47000,2
30,174,72,79,79,12000000,29000,4
32,181,74,79,79,10000000,42000,3
32,190,80,79,79,8000000,34000,3
30,180,82,79,79,10000000,56000,2
30,194,81,79,79,10000000,100000,2
30,182,77,79,79,10000000,30000,3
27,178,73,79,79,13000000,24000,5
30,182,71,79,79,11500000,78000,3
32,183,81,79,79,8000000,105000,2
34,171,64,79,79,6500000,25000,4
30,180,77,79,79,12000000,32000,4
32,171,62,79,79,8000000,34000,3
28,181,83,79,79,13000000,43000,3
29,179,79,79,79,12500000,65000,4
28,184,73,79,79,13000000,44000,4
28,184,78,79,79,11000000,73000,3
31,180,73,79,79,11500000,32000,4
30,177,72,79,79,12000000,31000,4
30,185,79,79,79,12000000,55000,3
29,184,80,79,79,10500000,62000,3
29,196,85,79,79,10500000,32000,2
30,183,75,79,79,10000000,40000,2
29,180,75,79,79,12500000,48000,4
28,170,73,79,79,12500000,12000,4
28,178,78,79,79,11000000,34000,3
29,170,67,79,79,10500000,62000,3
29,186,80,79,79,11000000,58000,2
30,181,80,79,79,10500000,500,3
26,178,76,79,79,13500000,48000,4
28,177,76,79,79,12500000,57000,4
28,182,76,79,79,13000000,46000,4
26,171,71,79,79,13500000,37000,4
29,179,81,79,79,12500000,52000,3
29,174,86,79,79,10500000,21000,3
30,177,80,79,79,12000000,48000,3
32,170,69,79,79,8000000,20000,3
26,178,72,79,79,13500000,90000,4
30,180,80,79,79,11500000,29000,3
32,180,70,79,79,10000000,32000,4
28,175,71,79,79,11000000,49000,3
28,176,69,79,79,11000000,32000,2
31,182,78,79,79,9500000,42000,3
31,185,79,79,79,11500000,36000,3
29,186,83,79,79,12500000,19000,3
20,168,65,79,79,12000000,27000,4
28,175,70,79,79,11000000,500,2
24,177,75,79,79,12500000,23000,2
20,188,88,79,79,12500000,19000,2
28,186,80,79,79,9500000,26000,1
20,176,73,79,79,14500000,27000,4
33,176,74,79,79,8000000,500,3
32,168,65,79,79,0,0,4
24,177,75,79,79,0,0,3
32,175,70,79,79,0,0,2
28,186,80,79,79,0,0,1
20,183,77,78,91,20000000,105000,4
21,194,95,78,88,15500000,33000,3
21,190,82,78,88,13500000,7000,1
21,181,79,78,88,15000000,17000,3
21,192,78,78,88,15500000,38000,2
20,172,63,78,88,17000000,15000,4
23,190,83,78,87,12500000,36000,1
22,185,76,78,87,16000000,19000,4
21,183,76,78,87,16000000,34000,4
22,182,78,78,87,15500000,52000,3
23,178,76,78,86,13500000,59000,3
21,187,68,78,86,15500000,11000,4
23,180,73,78,86,15500000,14000,4
23,191,80,78,86,14000000,26000,2
20,183,70,78,86,15500000,41000,3
22,176,70,78,85,14500000,33000,4
23,175,70,78,85,13000000,15000,3
22,196,87,78,85,15000000,77000,3
21,179,78,78,85,15000000,17000,4
22,190,87,78,85,13000000,59000,2
22,175,70,78,85,13500000,15000,3
24,191,88,78,84,14000000,70000,4
23,189,78,78,84,13000000,30000,3
22,180,70,78,84,13000000,27000,3
23,185,86,78,84,14500000,37000,3
23,190,78,78,84,10500000,16000,1
24,187,91,78,84,13000000,42000,2
24,190,83,78,84,13000000,12000,2
23,184,75,78,84,14000000,27000,3
21,193,82,78,84,11000000,14000,1
24,186,73,78,84,14500000,55000,4
22,175,70,78,84,14500000,50000,4
22,173,66,78,84,14000000,66000,3
22,167,63,78,84,14000000,10000,3
24,186,78,78,84,14000000,19000,4
22,183,77,78,84,13000000,11000,3
23,186,81,78,84,13000000,20000,2
25,189,88,78,83,12500000,66000,2
24,174,68,78,83,14000000,36000,4
24,186,83,78,83,12500000,59000,3
25,170,64,78,83,13500000,57000,4
26,187,80,78,83,12000000,48000,2
24,175,71,78,83,14000000,19000,3
25,183,77,78,83,14000000,48000,3
24,175,70,78,83,14000000,33000,4
24,187,77,78,83,13500000,32000,3
24,168,62,78,83,13500000,73000,3
25,179,68,78,83,12000000,11000,3
23,188,78,78,83,14000000,27000,3
25,193,81,78,83,10000000,500,1
26,190,90,78,82,12000000,73000,2
25,186,80,78,82,12000000,44000,3
26,191,85,78,82,12000000,36000,2
26,187,83,78,82,12000000,500,2
